original_title,overview,popularity,release_date,title,vote_average,vote_count
엄마친구 4,"Min Jung's husband has been traveling for 300 days and she feels lonely. When her friend Chung Hee moves in next door, Min Jung often visits her house, during which she keeps meeting Jae Ho, Jung Hee's son. After having an impulsive affair with Jae Ho, Min Jung tries to forget about it, saying, ""It was a mistake,"" but she keeps remembering his young body.",26.334,2018-01-08,Mom's Friend 4,6.0,1
The Friendship Game,A group of teens in a small town come across a strange object that tests their loyalties to each other with increasingly destructive consequences the deeper into the game they go.,37.744,2022-11-11,The Friendship Game,5.4,37
九层妖塔,"In 1979, a young soldier is working in China's snowcapped mountains when an explosion reveals bizarre fossils hidden deep in the mountain caverns. What they discover next will change his life and human history forever.",20.049,2015-09-30,Chronicles of the Ghostly Tribe,6.0,146
District 9,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.",31.346,2009-08-05,District 9,7.4,8544
Cold Pursuit,"The quiet family life of Nels Coxman, a snowplow driver, is upended after his son's murder. Nels begins a vengeful hunt for Viking, the drug lord he holds responsible for the killing, eliminating Viking's associates one by one. As Nels draws closer to Viking, his actions bring even more unexpected and violent consequences, as he proves that revenge is all in the execution.",24.905,2019-02-07,Cold Pursuit,5.7,2257
ワンピース　フィルム GOLD,"The glittering Gran Tesoro, a city of entertainment beyond the laws of the government, is a sanctuary for the world’s most infamous pirates, Marines, and filthy rich millionaires. Drawn by dreams of hitting the jackpot, Captain Luffy and his crew sail straight for the gold. But behind the gilded curtains lies a powerful king whose deep pockets and deeper ambitions spell disaster for the Straw Hats and the New World alike.",34.549,2016-07-23,One Piece Film: GOLD,7.2,410
Laruan,"Thea, Rene’s wife, always invites her other man, Geoff, over dinner for them to make out in the house. But when a new woman, Camille, enters the picture, Thea’s wild and crazy gameplay changes.",24.801,2022-12-16,Laruan,5.0,5
Friday the 13th Part VI: Jason Lives,"Tommy Jarvis, tormented by the fear that Jason Voorhees isn't really dead, unwittingly resurrects the mass murderer for another bloody rampage.",24.291,1986-08-01,Friday the 13th Part VI: Jason Lives,6.2,988
The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",31.247,2016-10-13,The Accountant,7.1,5510
Blow,"A boy named George Jung grows up in a struggling family in the 1950's. His mother nags at her husband as he is trying to make a living for the family. It is finally revealed that George's father cannot make a living and the family goes bankrupt. George does not want the same thing to happen to him, and his friend Tuna, in the 1960's, suggests that he deal marijuana. He is a big hit in California in the 1960's, yet he goes to jail, where he finds out about the wonders of cocaine. As a result, when released, he gets rich by bringing cocaine to America. However, he soon pays the price.",23.987,2001-04-04,Blow,7.4,3917
Godzilla,"French nuclear tests irradiate an iguana into a giant monster that viciously attacks freighter ships in the Pacific Ocean. A team of experts, including Niko Tatopoulos, conclude that the oversized reptile is the culprit. Before long, the giant lizard is loose in Manhattan as the US military races to destroy the monster before it reproduces and it's spawn takes over the world.",33.086,1998-05-20,Godzilla,5.6,3459
Texas Chainsaw 3D,"A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.",26.988,2013-01-03,Texas Chainsaw 3D,5.5,1442
Birdeater,"A bride-to-be is invited to her own fiancé's bachelor party, but when uncomfortable details about their relationship are exposed, the night takes a feral turn.",27.004,2023-06-11,Birdeater,0.0,0
ヱヴァンゲリヲン新劇場版：序,"After the Second Impact, Tokyo-3 is being attacked by giant monsters called Angels that seek to eradicate humankind. The child Shinji's objective is to fight the Angels by piloting one of the mysterious Evangelion mecha units. A remake of the first six episodes of GAINAX's famous 1996 anime series. The film was retitled ""Evangelion: 1.01"" for its home video version and ""Evangelion: 1.11"" for a release with additional scenes.",25.033,2007-09-01,Evangelion: 1.0 You Are (Not) Alone,7.6,794
Coffy,"After her younger sister gets involved in drugs and is severely injured by contaminated heroin, a nurse sets out on a mission of vengeance and vigilante justice, killing drug dealers, pimps, and mobsters who cross her path.",19.781,1973-06-13,Coffy,6.7,199
Accident Man,"Mike Fallon, the Accident Man, is a stone cold killer.  When a loved one is murdered by his own crew, Fallon is forced to avenge the one person who actually meant something to him.",30.038,2018-02-06,Accident Man,6.1,421
Rings,"Julia becomes worried about her boyfriend Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",22.687,2017-02-01,Rings,5.0,2340
National Lampoon's Vacation,"Clark Griswold is on a quest to take his family to the Walley World theme park for a vacation, but things don't go exactly as planned.",32.03,1983-07-28,National Lampoon's Vacation,7.1,1321
Proximity,A young NASA JPL scientist is abducted by extraterrestrials but when no one believes his story he becomes obsessed with finding proof which leads him on a journey of discovery.,25.045,2020-05-15,Proximity,6.1,178
Fall Guy,A sexy political drama about a man who's blamed for a crime he didn't do. Will justice be ever served to small people like him?,31.435,2023-05-12,Fall Guy,2.0,1
Live and Let Die,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,29.478,1973-07-05,Live and Let Die,6.5,1765
Paranormal Activity,"After a young, middle-class couple moves into what seems like a typical suburban house, they become increasingly disturbed by a presence that may or may not be demonic but is certainly the most active in the middle of the night.  Followed by five terrifying installments in the franchise, this is the original found-footage shocker that started it all.",37.584,2007-09-14,Paranormal Activity,6.0,4570
Fear Street: 1978,"In 1978, two rival groups at Camp Nightwing must band together to solve a terrifying mystery when horrors from their towns' history come alive.",32.901,2021-07-08,Fear Street: 1978,7.3,1599
Space Jam,"Jokes fly as the Tune Squad takes on the Nerdlucks in a hardcourt game to decide if the Looney Tunes remain here... or become attractions at a far-off galactic off-ramp called Moron Mountain. The Nerdlucks have a monstrous secret weapon: they've stolen the skills of top NBA stars like Charles Barkley and Patrick Ewing and become Monstars. But that's not all, folks. The Tune Squad’s secret weapon just happens to be the finest player in this or any other universe. He's outta this world. So's the fun.",29.275,1996-11-15,Space Jam,6.8,5496
Sexy Movie,Two down on their luck Hollywood filmmakers decide to make a pornographic film.,26.485,2003-12-03,Sexy Movie,4.9,7
Deadpool 3,The third installment in the Deadpool franchise.,33.062,2024-11-06,Deadpool 3,0.0,0
Death Sentence,"Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family.",19.524,2007-08-31,Death Sentence,6.7,977
Nuovo Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",27.371,1988-11-17,Cinema Paradiso,8.5,3780
Thunderball,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.,31.42,1965-12-11,Thunderball,6.6,2015
Never Back Down,"Jake, full of anger after his father's death, is just starting to find a place for himself at his new Orlando high school - until Ryan, head of an underground MMA fight club, picks Jake out as a prime opponent. After being trounced by Ryan in front of the entire school, Jake begins training under the firm, moral guidance of a MMA master, where he learns how to fight... and how to avoid a fight. But it becomes obvious that a rematch will be inevitable if Jake wants to stop Ryan and his bullying, once and for all.",30.47,2008-03-04,Never Back Down,6.8,2105
Scorpio Nights 3,"A young couple's sex acts are witnessed by a young man through a hole. When the wife seduces him, they engage in an illicit affair. Chaos ensues when the husband learns about them.",32.441,2022-07-28,Scorpio Nights 3,7.0,8
Secretary,"A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",27.268,2002-09-20,Secretary,6.8,1362
For People in Trouble,"When two people meet one night in London, their relationship blossoms and fractures, intertwined with impending societal collapse.",26.766,2023-06-11,For People in Trouble,2.0,1
Dakota,"Dakota, an ex-service dog, joins single mum Kate and her daughter Alex to live on their small-town family farm. Dakota quickly adjusts to her new home and becomes somewhat of a local hero, soon becoming inseparable from Alex. But when the farm’s existence is threatened by the town’s rogue sheriff, Dakota must help the family band together and save the land.",33.907,2022-04-01,Dakota,5.8,20
The Intern - A Summer of Lust,"The story of Maddie who leaves her hometown in the United States for the sensual streets of Barcelona to seize the opportunity to do an internship for erotic filmmaker Erika Lust. At first, she is overwhelmed by her new life and her new job, the new experiences and people she's being confronted with. But soon, sparked by her dreamy roommate Michael and her new friends, the shy All-American girl experiences a sexual awakening she could have never imagined in her wildest dreams. Meanwhile, her sister Paisely is worried about her disappearance and makes it her mission to find her. Will Paisley succeed or will she be lured into the heat of a European summer? This is a tale of sexual awakenings, erotic desire, curiosity and pleasure; this is a summer of Lust.",22.518,2019-12-01,The Intern - A Summer of Lust,5.2,8
Dr. Bessels Verwandlung,"Alexander Bessel is a young man in a failing marriage. His wife cheats on him, and so the outbreak of WW1 comes in handy for a change. When young French soldier dies right in front of him Bessel seize the opportunity assuming his identity.",37.015,1927-12-08,The Transformation of Dr. Bessel,0.0,0
Sinister,"True-crime writer Ellison Oswald is in a slump; he hasn't had a best seller in more than 10 years and is becoming increasingly desperate for a hit. So, when he discovers the existence of a snuff film showing the deaths of a family, he vows to solve the mystery. He moves his own family into the victims' home and gets to work. However, when old film footage and other clues hint at the presence of a supernatural force, Ellison learns that living in the house may be fatal.",35.667,2012-03-29,Sinister,6.9,4869
This Is Not Financial Advice,"Glauber Contessoto gambles his life savings on a joke cryptocurrency. Two months later, he becomes ""The Dogecoin Millionaire"" and an internet legend. While it might seem easy to get rich online, it's even easier to lose it all.",17.309,2023-06-10,This Is Not Financial Advice,0.0,0
断捨離パラダイス,"Failing to succeed both as a pianist and a piano teacher, Ritsuki accepts a job at a cleaning service that specializes in clearing out cluttered apartments. He is not only confronted by loads of trash but also by dark secrets.",18.054,2023-06-10,Hoarder On The Border,0.0,0
Bridge to Terabithia,"Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen.",28.264,2007-02-15,Bridge to Terabithia,7.3,4271
Chinatown,"Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",25.81,1974-06-20,Chinatown,7.9,3329
백두산,A group of unlikely heroes from across the Korean peninsula try to save the day after a volcano erupts on the mythical and majestic Baekdu Mountain.,34.522,2019-12-19,Ashfall,6.8,499
Le Dernier Mercenaire,A legendary secret service agent comes out of hiding and returns to France to help the son he's never met get out of trouble.,32.034,2021-07-30,The Last Mercenary,6.6,549
映画ドラえもん のび太の宇宙小戦争 2021,"One day during summer vacation, a palm-sized alien named Papi appears from a small rocket that Nobita picks up. He is the president of Pirika, a small planet in outer space, and has come to Earth to escape the rebels. Doraemon and his friends are puzzled by Papi’s small size, but as they play together using the secret tool “Small Light”, they gradually become friends. However, a whale-shaped space battleship comes to earth and attacks Doraemon, Nobita and the others in order to capture Papi. Feeling responsible for getting everyone involved, Papi tries to stand up to the rebels. Doraemon and his friends leave for the planet Pirika to protect their dear friend and his home.",23.654,2022-03-04,Doraemon: Nobita's Little Star Wars 2021,5.7,87
Training Day,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",25.604,2001-10-05,Training Day,7.5,5199
Gnomeo & Juliet,"A version of Shakespeare's play, set in the world of warring indoor and outdoor gnomes. Garden gnomes Gnomeo and Juliet have as many obstacles to overcome as their quasi namesakes when they are caught up in a feud between neighbors. But with plastic pink flamingos and lawnmower races in the mix, can this young couple find lasting happiness?",26.66,2011-01-13,Gnomeo & Juliet,5.9,1772
Central Intelligence,"After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.",32.004,2016-06-15,Central Intelligence,6.4,5336
Waktu Maghrib,"A terror chases the souls of Adi and Saman. Ayu knows the reason as to why they are tormented - a sin committed at the most dangerous time of Maghrib Time. What sin have they committed and what will happen to Adi, Saman, Ayu and their village?",29.263,2023-02-09,Maghrib Time,6.6,12
Ella Enchanted,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom.",29.246,2004-04-09,Ella Enchanted,6.4,1663
犬夜叉 時代を越える想い,"InuYasha is a half-demon who was trapped in the Legendary Tree and was set free by Kagome, a girl who traveled 500 years through time. This time, both of them will have to face Menomaru, a Chinese demon whose father, known as Hyoga, came 300 years ago to invade Japan, but was stopped by InuYasha's Father. InuYasha and Kagome, along with Sango, Miroku, Shippou, Kaede and Myoga, will try to stop Menomaru in his becoming the most powerful demon ever.",27.996,2001-12-15,Inuyasha the Movie: Affections Touching Across Time,7.7,162
The Girl Who Escaped: The Kara Robinson Story,"The TRUE STORY of how Kara Robinson was kidnapped, assaulted and held captive for 18 hours, 15-year-old Kara Robinson plots a daring escape from a serial killer's apartment.",24.233,2023-02-11,The Girl Who Escaped: The Kara Robinson Story,7.3,36
Jolt,A bouncer with an anger management problem goes on a furious and resentful rampage after the murder of a friend.,34.97,2021-07-15,Jolt,6.6,1075
The Goonies,"A young teenager named Mikey Walsh finds an old treasure map in his father's attic. Hoping to save their homes from demolition, Mikey and his friends Data Wang, Chunk Cohen, and Mouth Devereaux run off on a big quest to find the secret stash of Pirate One-Eyed Willie.",32.143,1985-06-07,The Goonies,7.5,5123
ONE PIECE 〜アドベンチャー オブ ネブランディア〜,"Kōmei devises a plan where Zoro and Sanji take part in an eating contest, and the two eat a strange ""good-for-nothing-only"" mushroom that turns them into good-for-nothing men. The two are then locked in a jail cell. When the rest of the Straw Hat Pirates chase after their imprisoned crew, they land on the island of Nebulandia, which features a mysterious fog made from sea water, and it has the same effects as seastone. The Straw Hat Pirates' arrival on Nebulandia is also a part of Kōmei's plan.",33.498,2015-12-20,One Piece: Adventure of Nebulandia,7.7,170
신과함께-죄와 벌,"Having died unexpectedly, firefighter Ja-hong is taken to the afterlife by 3 afterlife guardians. Only when he passes 7 trials over 49 days and proves he was innocent in human life, he’s able to reincarnate, and his 3 afterlife guardians are by his side to defend him in trial.",35.5,2017-12-14,Along with the Gods: The Two Worlds,8.1,833
R.I.P.D.,A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him.,32.244,2013-07-18,R.I.P.D.,5.8,3626
Mamma Mia!,"An independent, single mother who owns a small hotel on a Greek island is about to marry off the spirited young daughter she's raised alone. But, the daughter has secretly invited three of her mother's ex-lovers in the hopes of finding her biological father.",30.141,2008-07-03,Mamma Mia!,7.0,5886
The Huntsman: Winter's War,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.",31.894,2016-04-06,The Huntsman: Winter's War,6.3,4506
Lord of War,"Yuri Orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless Interpol agent, his business rivals and even some of his customers who include many of the world's most notorious dictators. Finally, he must also face his own conscience.",32.489,2005-09-16,Lord of War,7.3,4151
The November Man,An ex-CIA operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level CIA officials and the Russian president-elect.,25.187,2014-08-27,The November Man,6.1,1339
착한 엄마 3,"Sun-young and Jun-young are living together. However, they have been unable to pay the rent for several months and listen to the pinzan from the landlord. Eventually, after worrying, he goes to Jun-young's father's house and asks for help. But there, the father's new lover, Ji-young, greets them. Sun-young and Jun-young are unable to borrow money and live in the house for the time being. But after that day. Jun-young's father Dae-woong's eyes keep seeing Sun-young's short mini skirt. Ji-young is interested in Jun-young, who is young and manly…",27.617,2019-08-26,Good Mother 3,5.0,4
Rocky V,"A lifetime of taking shots has ended Rocky’s career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.",28.733,1990-11-16,Rocky V,5.8,2821
See for Me,"When blind former skier Sophie cat-sits in a secluded mansion, three thieves invade for the hidden safe. Sophie's only defense is army veteran Kelly, who she meets on the See For Me app. Kelly helps Sophie defend herself against the invaders and survive.",36.016,2022-01-07,See for Me,6.1,145
七つの大罪: 怨嗟のエジンバラ,"Tristan, the son of Meliodas and Elizabeth, inherits the power of the Goddess Clan and can heal people’s wounds and injuries, but he often ends up hurting others due to his inability to control his Demon Clan power. To protect his family, Tristan heads to Edinburgh Castle and meets a host of new friends along the way.",27.341,2022-12-20,The Seven Deadly Sins: Grudge of Edinburgh Part 1,8.0,189
Legally Blonde,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school, but while there, she figures out that there is more to herself than just looks.",27.88,2001-07-13,Legally Blonde,6.7,3501
Some Like It Hot,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",24.629,1959-03-19,Some Like It Hot,8.1,3060
Salò o le 120 giornate di Sodoma,"Four corrupted fascist libertines round up 9 teenage boys and girls and subject them to 120 days of sadistic physical, mental and sexual torture.",21.864,1976-01-10,"Salò, or the 120 Days of Sodom",6.5,1711
遊☆戯☆王 THE DARK SIDE OF DIMENSIONS,Yugi and Kaiba have a special duel that transcends dimensions.,30.483,2016-04-23,Yu-Gi-Oh!: The Dark Side of Dimensions,7.6,388
新妹魔王の契約者 DEPARTURES,"The first movie based on the TV Series The Testament of Sister New Devil, takes place right after the season 2 final.",32.754,2018-01-27,The Testament of Sister New Devil: Departures,6.7,9
DPMI-011 挑発タイトイズム 沖田杏梨,,20.478,2013-05-07,DPMI-011 挑発タイトイズム 沖田杏梨,0.0,0
The Bourne Supremacy,"When a CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",30.225,2004-07-23,The Bourne Supremacy,7.3,6799
American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",26.174,1999-09-15,American Beauty,8.0,11025
Alien³,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can.",25.12,1992-05-22,Alien³,6.4,4930
나인틴 : 쉿! 상상금지!,A smart finger movie about adult rated romance between young men and women who have total control over SNS.,21.845,2015-04-20,Nineteen: Shh! No Imagining!,5.0,4
Escape Plan,"Ray Breslin is the world's foremost authority on structural security. After analyzing every high security prison and learning a vast array of survival skills so he can design escape-proof prisons, his skills are put to the test. He's framed and incarcerated in a master prison he designed himself. He needs to escape and find the person who put him behind bars.",27.723,2013-10-09,Escape Plan,6.7,4679
Season of the Witch,"A 14th century Crusader returns with his comrade to a homeland devastated by the Black Plague. The Church commands the two knights to transport a witch to a remote abbey, where monks will perform a ritual in hopes of ending the pestilence.",32.169,2011-01-07,Season of the Witch,5.4,2208
Security,"An ex-special services veteran, down on his luck and desperate for work, takes a job as a security guard at a run-down mall in a rough area of town. On his first night on the job, he opens the door to a distraught and desperate young girl who has fled the hijacking of a Police motorcade that was transporting her to testify as a witness in a trial. Hot on her heels is the psychopathic hijacker and his team of henchmen, who will stop at nothing to extract and eliminate the witness.",31.222,2017-03-04,Security,6.3,714
Sky High,"Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",21.963,2005-07-29,Sky High,6.2,2072
"Me, Myself & Irene","Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.",31.512,2000-06-22,"Me, Myself & Irene",6.6,3405
Nightbooks,"Alex, a boy obsessed with scary stories, is trapped by a witch in her modern, magical New York City apartment. His original hair-raising tales are the only thing keeping him safe as he desperately tries to find a way out of this twisted place.",34.238,2021-09-15,Nightbooks,6.3,311
Cocaine Bear: The True Story,"The bizarre, stranger than fiction tale behind the hit Hollywood movie ""Cocaine Bear,"" involving international drug smuggling, murder, mayhem, and a mysterious dead body in a suburban driveway wearing a watch that shoots tear gas. How a Georgia bear on cocaine and a Kentucky blueblood soldier of fortune will be forever linked is a modern-day legend.",30.68,2023-04-13,Cocaine Bear: The True Story,4.9,5
The Italian Job,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.",28.507,2003-05-30,The Italian Job,6.8,4996
请别相信她,,26.801,2023-05-20,请别相信她,0.0,0
Happy Gilmore,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",30.555,1996-02-16,Happy Gilmore,6.6,2331
"The Simpsons: The Good, the Bart, and the Loki",Loki is banished from Asgard once again and must face his toughest opponents yet: the Simpsons and Springfield’s mightiest heroes. The God of Mischief teams up with Bart Simpson in the ultimate crossover event paying tribute to the Marvel Cinematic Universe of superheroes and villains.,36.894,2021-07-07,"The Simpsons: The Good, the Bart, and the Loki",7.4,599
Saw V,"Detective Hoffman is seemingly the last person alive to carry on the Jigsaw legacy. But when his secret is threatened, he must go on the hunt to eliminate all the loose ends.",28.805,2008-10-23,Saw V,6.2,2997
Super 8,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.",28.855,2011-06-08,Super 8,6.8,6095
The Last Emperor,"A dramatic history of Puyi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.",21.401,1987-10-04,The Last Emperor,7.6,1438
Stephen,"A docu-fiction hybrid following Stephen Giddings, a man from an addiction-afflicted family, who auditions for and takes on a film role, while transforming his life in the real world, blurring the lines between fact and fiction to examine addiction and recovery. Commissioned by Liverpool Biennial, the film was created with a mixed cast of professional actors and local people from the recovery community. Stephen is based on the real-life story of Thomas Goudie, a clerk at the Bank of Liverpool, caught embezzling money to support his obsessive gambling. Goudie’s arrest became the world’s first crime-reconstruction and first film made in Liverpool in 1901 by filmmakers Mitchell and Kenyon.",16.243,2023-06-10,Stephen,0.0,0
Red Sparrow,"Prima ballerina, Dominika Egorova faces a bleak and uncertain future after she suffers an injury that ends her career. She soon turns to Sparrow School, a secret intelligence service that trains exceptional young people to use their minds and bodies as weapons. Dominika emerges as the most dangerous Sparrow after completing the sadistic training process. As she comes to terms with her new abilities, she meets a CIA agent who tries to convince her that he is the only person she can trust.",27.408,2018-02-28,Red Sparrow,6.5,5512
The Bucket List,"Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor.",23.95,2007-12-15,The Bucket List,7.2,3388
Saw 3D,"As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror.",31.35,2010-10-21,Saw 3D,6.0,2572
Knight and Day,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",27.75,2010-06-15,Knight and Day,6.2,4052
団鬼六　女秘書縄調教,"Secretary Sayo does some corporate snooping for her boyfriend, an upstart executive with a rival company. But she gets busted by the CEO. Poor Sayo is captured and taken to a private torture chamber in the corporate mansion. While the secretary gets punished, the bossman's son becomes infatuated with her beautiful white skin and he assumes the disciplinary responsibilities. Between the floggings, stretchings, and wooden-horse tortures he finds time to cover her body in an elaborate tattoo.",27.152,1981-05-29,Secretary Rope Discipline,1.5,2
Child's Play 2,"When Andy’s mother is admitted to a psychiatric hospital, the young boy is placed in foster care, andChucky, determined to claim Andy's soul, is not far behind.",36.819,1990-11-09,Child's Play 2,6.2,1558
Causeway,"A US soldier suffers a traumatic brain injury while fighting in Afghanistan and struggles to adjust to life back home in New Orleans. When she meets local mechanic James, the pair begin to forge an unexpected bond.",23.276,2022-10-28,Causeway,6.7,297
Hitman's Wife's Bodyguard,"The world’s most lethal odd couple – bodyguard Michael Bryce and hitman Darius Kincaid – are back on another life-threatening mission. Still unlicensed and under scrutiny, Bryce is forced into action by Darius's even more volatile wife, the infamous international con artist Sonia Kincaid. As Bryce is driven over the edge by his two most dangerous protectees, the trio get in over their heads in a global plot and soon find that they are all that stand between Europe and a vengeful and powerful madman.",34.266,2021-06-14,Hitman's Wife's Bodyguard,6.7,1876
猫の恩返し,"Young Haru rescues a cat from being run over, but soon learns it's no ordinary feline; it happens to be the Prince of the Cats.",24.992,2002-07-19,The Cat Returns,7.2,1736
엄마친구 2,"An art student named Gwang-ho gets dumped by his girlfriend because she was only his source of comfort, and that he's a Mama's boy and a premature ejaculator. He tries to avoid seeing her by going to a different academy and that's when his mother introduces him to her friend Soo-yeon, a sophisticated and intelligent looking woman. Gwang-ho falls for her.  Gwang-ho's mother suddenly leaves for Australia because his father is sick and Gwang-ho gets to stay in Soo-yeon's house for a few days. Looking at her, he thinks of all the things he would like to do with her and Soo-yeon's niece Ha-kyeong stimulates him to do something about his feelings.",29.124,2016-09-01,Mom's Friend 2,4.3,6
Blood Red Sky,"A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight. In order to protect her son she will have to reveal a dark secret, and unleash the inner monster she has fought to hide.",26.962,2021-07-23,Blood Red Sky,6.9,1352
Der Ruf der blonden Göttin,"Susan arrives in Haiti to live with her husband Jack, who lives with a lesbian housekeeper and Olga, a nymphomaniac platinum blonde, introduced to her as Jack's sister. Susan begins to have nightmares about voodoo ceremonies and murder.",25.114,1977-12-09,Call of the Blonde Goddess,4.8,31
The Mummy,"Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",28.134,2017-06-06,The Mummy,5.5,6618
Hidden,A family takes refuge in a fallout shelter to avoid a dangerous outbreak.,36.702,2015-09-15,Hidden,6.9,811
